Word,Similarity
시기,0.7131915092468262
접종,0.7017022967338562
아스트라제네카,0.6813890933990479
코로나,0.6426920890808105
선택,0.608290433883667
국내,0.5997428894042969
잔여,0.585012674331665
순서,0.5747213363647461
방법,0.5696278810501099
개발,0.5692391991615295
우선순위,0.568967342376709
부작용,0.568103015422821
탭,0.5611804723739624
나이,0.5610940456390381
대한민국,0.5585295557975769
예약,0.551491379737854
쇼,0.5453817844390869
과정,0.5264726877212524
카카오,0.5157470703125
요,0.5126843452453613
종자,0.5098481774330139
횟수,0.5058271884918213
미만,0.505624532699585
조회,0.5012639760971069
n,0.4992937445640564
임신부,0.4908304810523987
화이자,0.49056458473205566
임상시험,0.4892789423465729
카카오톡,0.48240917921066284
얀센,0.4778275787830353
네이버,0.4775504469871521
미접,0.4765462577342987
검색,0.47453469038009644
이다,0.46661701798439026
많다,0.4620751142501831
예방,0.4494933485984802
병원,0.44866037368774414
https,0.4445040822029114
노,0.443679541349411
19,0.4417557120323181
대상,0.4340769052505493
확진,0.4289487302303314
알아보다,0.42459622025489807
기관,0.4232315123081207
분기,0.41790705919265747
본인,0.413509726524353
포함,0.40679097175598145
당일,0.4062268137931824
의료,0.40433308482170105
진행,0.40318936109542847
수량,0.39764273166656494
질병,0.395711213350296
경우,0.39485031366348267
아래,0.3946199417114258
6월,0.39455217123031616
통하다,0.39440250396728516
복,0.3921506404876709
일시,0.38997262716293335
우선,0.3889719247817993
청소년,0.3871195912361145
맞다,0.3858391046524048
7월,0.3809121549129486
zero,0.3783171772956848
사람,0.37816157937049866
사전,0.3776456117630005
장소,0.3699406385421753
조사,0.3668041229248047
참고,0.3663986325263977
이후,0.3640573024749756
시간,0.36010926961898804
인터넷,0.3558807373046875
국민,0.3503999710083008
대하다,0.34986281394958496
사항,0.34948885440826416
붙다,0.34554195404052734
역학,0.3446323275566101
순차,0.34281888604164124
확인,0.3389330506324768
제외,0.337728351354599
바라다,0.3376409411430359
오다,0.3341689109802246
보육,0.33225002884864807
상황,0.3322390913963318
노인,0.33220016956329346
소자,0.3310452103614807
코로나바이러스,0.3268793821334839
소아,0.3267468214035034
알다,0.3265601396560669
신종,0.3253205418586731
관리,0.318545401096344
부탁,0.3176004886627197
계획,0.31644922494888306
문의,0.3154926002025604
따르다,0.3149257302284241
도움,0.3143349289894104
사실,0.3131667375564575
요양,0.31291913986206055
관련,0.3080769181251526
고령자,0.30638131499290466
감염증,0.30357030034065247
장애인,0.30326709151268005
성인,0.30230244994163513
재가,0.29996228218078613
완료,0.29981374740600586
집,0.29947662353515625
은,0.2971263527870178
같다,0.29622337222099304
치료,0.2956146001815796
일정,0.29544246196746826
실시,0.2901533842086792
전화,0.28962087631225586
받다,0.28882867097854614
채택,0.28796857595443726
콜,0.2813209593296051
좋다,0.28009623289108276
환자,0.276685893535614
만성,0.27584436535835266
질문,0.27323341369628906
질환자,0.2719680964946747
시작,0.2711004614830017
말,0.2651388943195343
위험,0.26506173610687256
인력,0.2630637288093567
이용자,0.26305755972862244
이상,0.26298221945762634
제공,0.2595859169960022
후,0.2594454884529114
알리다,0.25688767433166504
신청서,0.2538309097290039
사이트,0.2527118921279907
기다리다,0.2485208362340927
보다,0.24341678619384766
작성,0.2432778924703598
정보,0.242828369140625
기간,0.23968107998371124
홈페이지,0.23679310083389282
답변,0.23563972115516663
나오다,0.2326676845550537
변경,0.23245197534561157
매크로,0.23176079988479614
교육,0.2316560596227646
해당,0.23137573897838593
안내,0.2278531938791275
확산,0.22582076489925385
센터,0.22509628534317017
예정,0.22431828081607819
http,0.2228481024503708
입다,0.22237363457679749
미,0.22088852524757385
니다,0.22022080421447754
신청,0.21991091966629028
목,0.21785566210746765
발표,0.2165532112121582
군인,0.21422144770622253
대상자,0.21353711187839508
복지,0.2134244740009308
때,0.21276584267616272
시행,0.21060198545455933
이하,0.1983049213886261
링크,0.1962987780570984
피해,0.19585075974464417
이번,0.19220949709415436
등록,0.19183091819286346
관하다,0.19124409556388855
드리다,0.18918024003505707
서비스,0.1878913938999176
정부,0.1875472515821457
입,0.1827211081981659
전,0.1772427260875702
문자,0.17705059051513672
시설,0.1692160665988922
결정,0.16852304339408875
내용,0.16648033261299133
위하다,0.16538463532924652
금액,0.16272230446338654
소방,0.16021305322647095
경제,0.15976610779762268
위,0.1589168906211853
조건,0.15803872048854828
경찰,0.15548966825008392
온라인,0.15490315854549408
필수,0.14335906505584717
정리,0.14309608936309814
두기,0.1395415961742401
지나다,0.13870251178741455
출처,0.13723129034042358
1월 11일,0.1280476450920105
종사자,0.12611021101474762
나다,0.1254059076309204
안,0.12460365891456604
거리,0.12261325865983963
사업,0.11775895953178406
지원,0.11564303934574127
요건,0.11482261121273041
영업,0.11103703081607819
지원금,0.11046170443296432
재난,0.10553595423698425
자료,0.10248109698295593
단계,0.10217514634132385
계층,0.09973903000354767
보험,0.09866192191839218
자격,0.09384351968765259
글,0.0899333655834198
발송,0.08582541346549988
소득,0.08162534236907959
금지,0.07367421686649323
1월 6일,0.07275797426700592
공인,0.07255781441926956
매출,0.07119040191173553
소상,0.07033121585845947
버팀목,0.0690058022737503
19년,0.06558307260274887
